SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,5611 Battee Dr,Churchton,MD,20733,75000,,,FRANKLIN MANOR BEACH,,9873,,790,,,Active,,,https://www.redfin.com/MD/Churchton/5611-Battee-Dr-20733/home/10466111,BRIGHT MLS,MDAA468844,N,Y,38.8012423,-76.5272696
MLS Listing,,Vacant Land,1236 Creek Dr,Annapolis,MD,21403,80000,,,OYSTER HARBOR,,11875,,102,,,Active,,,https://www.redfin.com/MD/Annapolis/1236-Creek-Dr-21403/home/10038620,BRIGHT MLS,MDAA2057118,N,Y,38.924553,-76.472465
MLS Listing,,Vacant Land,5277 Cedar St,West River,MD,20778,80000,,,REGULARS,,44431,,27,,,Active,,,https://www.redfin.com/MD/West-River/5277-Cedar-St-20778/home/10461318,BRIGHT MLS,MDAA2062854,N,Y,38.815988,-76.543634
MLS Listing,,Single Family Residential,197 B Ct,Lothian,MD,20711,80000,2,1.0,LYONS CREEK MOBILE ESTATES,900,2000,1975,46,89,,Active,,,https://www.redfin.com/MD/Lothian/197-B-Ct-20711/home/185587988,BRIGHT MLS,MDAA2061646,N,Y,38.7646538,-76.6680497
MLS Listing,,Vacant Land,Birch Ave,Glen Burnie,MD,21061,90000,,,GARLAND PARK,,17400,,573,,,Active,,,https://www.redfin.com/MD/Glen-Burnie/Birch-Ave-21061/home/10411464,BRIGHT MLS,MDAA2017884,N,Y,39.18976,-76.651205
MLS Listing,,Vacant Land,1012 Carrs Rd,Annapolis,MD,21403,98000,,,Annapolis,,6850,,860,,,Active,,,https://www.redfin.com/MD/Annapolis/1012-Carrs-Rd-21403/home/9951504,BRIGHT MLS,MDAA455886,N,Y,38.953863,-76.47965
MLS Listing,,Vacant Land,Lot 0 Nabbs Creek Rd,Glen Burnie,MD,21060,99000,,,VIEW POINT PARK,,7050,,1239,,,Active,,,https://www.redfin.com/MD/Glen-Burnie/Lot-0-Nabbs-Creek-Rd-21060/home/170666030,BRIGHT MLS,MDAA426722,N,Y,39.16016139,-76.5360749
MLS Listing,,Vacant Land,7348 Dotson Ln,Glen Burnie,MD,21060,99000,,,REGULARS,,26571,,175,,,Active,,,https://www.redfin.com/MD/Glen-Burnie/7348-Dotson-Ln-21060/home/10387501,BRIGHT MLS,MDAA2052376,N,Y,39.169271,-76.607588
MLS Listing,,Vacant Land,Ridgeway Cir,Arnold,MD,21012,99900,,,PINES ON SEVERN,,11122,,12,,,Active,,,https://www.redfin.com/MD/Arnold/Ridgeway-Cir-21012/home/10272645,BRIGHT MLS,MDAA2064062,N,Y,39.022738,-76.50864
MLS Listing,,Vacant Land,8042 Forest Glen Dr,Pasadena,MD,21122,99900,,,FOREST GLEN,,7950,,180,,,Active,,,https://www.redfin.com/MD/Lake-Shore/8042-Forest-Glen-Dr-21122/home/183856164,BRIGHT MLS,MDAA2051760,N,Y,39.124843,-76.4709265
